time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-09-25 19:00:00,24.0,9.2,39.0,,,,,,,,
2020-09-25 20:00:00,26.0,8.9,34.0,,,,,,,,
2020-09-25 21:00:00,26.0,8.9,34.0,,,,,,,,
2020-09-25 22:00:00,27.0,9.8,34.0,,,,,,,,
2020-09-25 23:00:00,27.0,8.9,32.0,,,,,,,,
2020-09-26 00:00:00,26.0,8.0,32.0,,,,,,,,
2020-09-26 01:00:00,25.0,7.2,32.0,,,,,,,,
2020-09-26 02:00:00,23.0,5.9,33.0,,,,,,,,
2020-09-26 03:00:00,23.0,5.9,33.0,,,,,,,,
2020-09-26 04:00:00,20.0,10.1,53.0,,,,,,,,
2020-09-26 05:00:00,18.0,9.1,56.0,,,,,,,,
2020-09-26 06:00:00,19.0,10.0,56.0,,,,,,,,
2020-09-26 07:00:00,20.0,10.1,53.0,,,,,,,,
2020-09-26 08:00:00,21.0,6.9,40.0,,,,,,,,
2020-09-26 09:00:00,20.0,9.0,49.0,,,,,,,,
2020-09-26 10:00:00,20.0,8.0,46.0,,,,,,,,
2020-09-26 11:00:00,20.0,9.0,49.0,,,,,,,,
2020-09-26 12:00:00,19.0,8.9,52.0,,,,,,,,
2020-09-26 13:00:00,19.0,8.9,52.0,,,,,,,,
2020-09-26 14:00:00,20.0,8.0,46.0,,,,,,,,
2020-09-26 15:00:00,20.0,8.0,46.0,,,,,,,,
2020-09-26 16:00:00,23.0,7.1,36.0,,,,,,,,
2020-09-26 17:00:00,24.0,8.0,36.0,,,,,,,,
2020-09-26 18:00:00,26.0,10.2,37.0,,,,,,,,
2020-09-26 19:00:00,26.0,10.2,37.0,,,,,,,,
2020-09-26 20:00:00,28.0,9.8,32.0,,,,,,,,
2020-09-26 21:00:00,28.0,9.8,32.0,,,,,,,,
2020-09-26 22:00:00,28.0,8.8,30.0,,,,,,,,
2020-09-26 23:00:00,28.0,11.1,35.0,,,,,,,,
2020-09-27 00:00:00,28.0,9.8,32.0,,,,,,,,
2020-09-27 01:00:00,26.0,8.0,32.0,,,,,,,,
2020-09-27 02:00:00,26.0,8.0,32.0,,,,,,,,
2020-09-27 03:00:00,24.0,8.0,36.0,,,,,,,,
2020-09-27 04:00:00,24.0,9.2,39.0,,,,,,,,
2020-09-27 05:00:00,24.0,9.2,39.0,,,,,,,,
2020-09-27 06:00:00,23.0,9.0,41.0,,,,,,,,
2020-09-27 07:00:00,22.0,9.2,44.0,,,,,,,,
2020-09-27 08:00:00,20.0,9.0,49.0,,,,,,,,
2020-09-27 09:00:00,19.0,8.9,52.0,,,,,,,,
2020-09-27 10:00:00,18.0,10.1,60.0,,,,,,,,
2020-09-27 11:00:00,19.0,10.0,56.0,,,,,,,,
2020-09-27 12:00:00,18.0,10.1,60.0,,,,,,,,
2020-09-27 13:00:00,17.0,10.1,64.0,,,,,,,,
2020-09-27 14:00:00,,,,,,,,,,,
2020-09-27 15:00:00,22.0,10.2,47.0,,,,,,,,
2020-09-27 16:00:00,26.0,10.2,37.0,,,,,,,,
2020-09-27 17:00:00,26.0,11.0,39.0,,,,,,,,
2020-09-27 18:00:00,28.0,9.8,32.0,,,,,,,,
2020-09-27 19:00:00,29.0,10.2,31.0,,,,,,,,
2020-09-27 20:00:00,30.0,11.0,31.0,,,,,,,,
2020-09-27 21:00:00,30.0,11.0,31.0,,,,,,,,
2020-09-27 22:00:00,30.0,11.0,31.0,,,,,,,,
2020-09-27 23:00:00,30.0,11.0,31.0,,,,,,,,
2020-09-28 00:00:00,30.0,11.0,31.0,,,,,,,,
2020-09-28 01:00:00,28.0,9.8,32.0,,,,,,,,
2020-09-28 02:00:00,28.0,9.8,32.0,,,,,,,,
2020-09-28 03:00:00,27.0,9.8,34.0,,,,,,,,
2020-09-28 04:00:00,26.0,8.9,34.0,,,,,,,,
2020-09-28 05:00:00,27.0,5.9,26.0,,,,,,,,
2020-09-28 06:00:00,26.0,8.0,32.0,,,,,,,,
2020-09-28 07:00:00,26.0,8.9,34.0,,,,,,,,
2020-09-28 08:00:00,27.0,0.7,18.0,,,,,,,,
2020-09-28 09:00:00,27.0,2.1,20.0,,,,,,,,
2020-09-28 10:00:00,27.0,0.7,18.0,,,,,,,,
2020-09-28 11:00:00,28.0,0.7,17.0,,,,,,,,
2020-09-28 12:00:00,27.0,2.1,20.0,,,,,,,,
