time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 23:00:00,27.8,10.5,34.0,0.0,,351.0,5.4,,1017.1,,
2019-10-25 00:00:00,26.7,12.4,41.0,0.0,,210.0,9.4,,1016.9,,
2019-10-25 01:00:00,22.2,11.6,51.0,,,160.0,5.4,,1016.7,,
2019-10-25 02:00:00,18.9,14.0,73.0,0.0,,80.0,5.4,,1017.0,,
2019-10-25 03:00:00,15.6,12.7,83.0,0.0,,130.0,7.6,,1017.6,,
2019-10-25 04:00:00,16.1,10.0,67.0,0.0,,138.0,0.0,,1017.8,,
2019-10-25 05:00:00,13.3,9.9,80.0,0.0,,128.0,0.0,,1018.7,,
2019-10-25 06:00:00,13.3,9.4,77.0,,,80.0,7.6,,1018.9,,
2019-10-25 07:00:00,12.8,7.9,72.0,,,117.0,0.0,,1019.3,,
2019-10-25 08:00:00,12.2,7.7,74.0,,,90.0,5.4,,1019.4,,
2019-10-25 09:00:00,11.7,7.2,74.0,0.0,,100.0,7.6,,1019.5,,
2019-10-25 10:00:00,14.4,4.9,53.0,0.0,,90.0,13.0,,1019.3,,
2019-10-25 11:00:00,13.9,4.5,53.0,0.0,,90.0,9.4,,1019.3,,
2019-10-25 12:00:00,11.7,4.9,63.0,0.0,,117.0,0.0,,1019.7,,
2019-10-25 13:00:00,10.0,5.6,74.0,0.0,,10.0,5.4,,1019.9,,
2019-10-25 14:00:00,9.4,5.6,77.0,0.0,,80.0,5.4,,1020.2,,
2019-10-25 15:00:00,9.4,6.1,80.0,0.0,,110.0,7.6,,1020.4,,
2019-10-25 16:00:00,13.3,7.3,67.0,0.0,,300.0,0.0,,1020.6,,
2019-10-25 17:00:00,19.4,9.3,52.0,0.0,,303.0,0.0,,1021.0,,
2019-10-25 18:00:00,17.2,8.3,56.0,0.0,,330.0,11.2,,1021.6,,
2019-10-25 19:00:00,17.2,9.4,60.0,0.0,,313.0,0.0,,1021.5,,
2019-10-25 20:00:00,18.3,11.1,63.0,0.0,,240.0,13.0,,1021.0,,
2019-10-25 21:00:00,15.0,10.0,72.0,0.0,,290.0,7.6,,1021.0,,
2019-10-25 22:00:00,15.6,10.6,72.0,0.0,,240.0,9.4,,1020.6,,
2019-10-25 23:00:00,16.1,10.0,67.0,0.0,,230.0,7.6,,1020.3,,
2019-10-26 00:00:00,15.0,10.6,75.0,0.0,,240.0,7.6,,1020.1,,
2019-10-26 01:00:00,13.3,10.7,84.0,0.0,,329.0,0.0,,1020.3,,
2019-10-26 02:00:00,11.7,9.4,86.0,0.0,,190.0,7.6,,1020.5,,
2019-10-26 03:00:00,11.1,9.4,89.0,0.0,,190.0,9.4,,1020.7,,
2019-10-26 04:00:00,11.1,10.0,93.0,0.0,,130.0,5.4,,1020.7,,
2019-10-26 05:00:00,11.7,10.6,93.0,0.0,,200.0,11.2,,1020.9,,
2019-10-26 06:00:00,11.7,11.1,96.0,,,150.0,5.4,,1021.3,,
2019-10-26 07:00:00,11.7,11.1,96.0,,,190.0,9.4,,1021.1,,
2019-10-26 08:00:00,11.7,11.1,96.0,,,150.0,5.4,,1020.8,,
2019-10-26 09:00:00,11.7,10.6,93.0,0.0,,105.0,0.0,,1020.3,,
2019-10-26 10:00:00,11.7,10.6,93.0,0.0,,170.0,5.4,,1019.8,,
2019-10-26 11:00:00,11.7,10.6,93.0,0.0,,120.0,7.6,,1019.1,,
2019-10-26 12:00:00,11.7,10.6,93.0,0.0,,35.0,0.0,,1018.6,,
2019-10-26 13:00:00,11.1,10.0,93.0,0.0,,20.0,5.4,,1018.6,,
2019-10-26 14:00:00,11.1,10.0,93.0,0.0,,358.0,0.0,,1018.2,,
2019-10-26 15:00:00,10.6,10.0,96.0,0.0,,360.0,7.6,,1018.0,,
2019-10-26 16:00:00,11.1,10.0,93.0,0.0,,331.0,0.0,,1018.3,,
2019-10-26 17:00:00,11.7,9.4,86.0,0.0,,325.0,0.0,,1018.4,,
2019-10-26 18:00:00,12.8,8.9,77.0,0.0,,338.0,0.0,,1017.6,,
2019-10-26 19:00:00,13.9,8.3,69.0,0.0,,300.0,9.4,,1017.1,,
2019-10-26 20:00:00,15.6,5.5,51.0,0.0,,340.0,33.5,,1016.4,,
