time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 11:00:00,17.2,-8.9,16.0,0.0,,340.0,22.3,,1013.2,,
2020-10-23 12:00:00,16.7,-8.5,17.0,0.0,,350.0,22.3,,1013.3,,
2020-10-23 13:00:00,16.1,-9.0,17.0,0.0,,340.0,20.5,,1013.6,,
2020-10-23 14:00:00,16.1,-9.0,17.0,0.0,,350.0,20.5,,1014.0,,
2020-10-23 15:00:00,16.1,-9.0,17.0,0.0,,350.0,18.4,,1014.2,,
2020-10-23 16:00:00,17.8,-9.2,15.0,0.0,,360.0,20.5,,1014.8,,
2020-10-23 17:00:00,19.4,-8.8,14.0,0.0,,360.0,27.7,,1015.2,,
2020-10-23 18:00:00,21.7,-7.9,13.0,0.0,,350.0,25.9,,1014.9,,
2020-10-23 19:00:00,22.8,-8.1,12.0,0.0,,350.0,24.1,,1014.5,,
2020-10-23 20:00:00,25.0,-8.8,10.0,0.0,,350.0,20.5,,1013.9,,
2020-10-23 21:00:00,26.7,-8.8,9.0,0.0,,360.0,14.8,,1013.1,,
2020-10-23 22:00:00,27.2,-8.4,9.0,0.0,,360.0,14.8,,1012.5,,
2020-10-23 23:00:00,27.2,-9.9,8.0,0.0,,40.0,7.6,,1012.0,,
2020-10-24 00:00:00,27.2,-8.4,9.0,0.0,,,5.4,,1011.8,,
2020-10-24 01:00:00,25.6,-8.3,10.0,0.0,,90.0,5.4,,1011.9,,
2020-10-24 02:00:00,21.1,-5.7,16.0,0.0,,0.0,0.0,,1012.1,,
2020-10-24 03:00:00,17.8,-6.2,19.0,0.0,,270.0,5.4,,1012.6,,
2020-10-24 04:00:00,15.6,-6.1,22.0,0.0,,30.0,7.6,,1013.2,,
2020-10-24 05:00:00,15.6,-4.9,24.0,0.0,,130.0,5.4,,1013.5,,
2020-10-24 06:00:00,11.7,-6.2,28.0,0.0,,310.0,7.6,,1014.1,,
2020-10-24 07:00:00,11.7,-6.7,27.0,0.0,,300.0,7.6,,1014.5,,
2020-10-24 08:00:00,10.0,-6.8,30.0,0.0,,290.0,9.4,,1014.2,,
2020-10-24 09:00:00,10.0,-7.2,29.0,0.0,,310.0,7.6,,1014.5,,
2020-10-24 10:00:00,8.9,-7.3,31.0,0.0,,310.0,7.6,,1014.6,,
2020-10-24 11:00:00,8.9,-6.1,34.0,0.0,,300.0,7.6,,1014.5,,
2020-10-24 12:00:00,8.3,-5.9,36.0,0.0,,320.0,11.2,,1014.3,,
2020-10-24 13:00:00,8.3,-5.6,37.0,0.0,,310.0,11.2,,1014.7,,
2020-10-24 14:00:00,7.2,-5.5,40.0,0.0,,270.0,5.4,,1015.1,,
2020-10-24 15:00:00,7.2,-5.5,40.0,0.0,,0.0,0.0,,1015.4,,
2020-10-24 16:00:00,11.7,-4.5,32.0,0.0,,360.0,5.4,,1016.1,,
2020-10-24 17:00:00,15.0,0.8,38.0,0.0,,0.0,0.0,,1016.2,,
2020-10-24 18:00:00,17.8,4.4,41.0,0.0,,,7.6,,1015.6,,
2020-10-24 19:00:00,19.4,4.3,37.0,0.0,,190.0,9.4,,1015.2,,
2020-10-24 20:00:00,21.1,4.6,34.0,0.0,,,,,1014.1,,
2020-10-24 21:00:00,22.2,2.8,28.0,0.0,,,5.4,,1013.0,,
2020-10-24 22:00:00,23.3,2.2,25.0,0.0,,210.0,7.6,,1012.0,,
2020-10-24 23:00:00,23.9,2.7,25.0,0.0,,160.0,7.6,,1011.2,,
2020-10-25 00:00:00,23.9,2.1,24.0,0.0,,160.0,11.2,,1011.1,,
2020-10-25 01:00:00,22.2,3.3,29.0,0.0,,140.0,7.6,,1010.7,,
2020-10-25 02:00:00,19.4,3.1,34.0,0.0,,0.0,0.0,,1010.8,,
2020-10-25 03:00:00,18.3,3.4,37.0,0.0,,0.0,0.0,,1011.0,,
2020-10-25 04:00:00,15.0,4.4,49.0,0.0,,0.0,0.0,,1011.4,,
2020-10-25 05:00:00,12.2,2.1,50.0,0.0,,300.0,5.4,,1011.7,,
2020-10-25 06:00:00,10.6,1.7,54.0,0.0,,290.0,7.6,,1012.2,,
2020-10-25 07:00:00,9.4,1.1,56.0,0.0,,310.0,7.6,,1012.2,,
2020-10-25 08:00:00,9.4,0.6,54.0,0.0,,0.0,0.0,,1012.1,,
2020-10-25 09:00:00,8.9,1.1,58.0,0.0,,310.0,9.4,,1012.6,,
2020-10-25 10:00:00,8.9,1.1,58.0,0.0,,300.0,7.6,,1012.9,,
2020-10-25 11:00:00,7.8,0.5,60.0,0.0,,310.0,5.4,,1012.9,,
2020-10-25 12:00:00,7.8,0.5,60.0,0.0,,320.0,7.6,,1013.1,,
2020-10-25 13:00:00,8.3,1.2,61.0,0.0,,300.0,11.2,,1013.6,,
2020-10-25 14:00:00,10.0,0.6,52.0,0.0,,350.0,11.2,,1014.0,,
2020-10-25 15:00:00,11.7,-1.8,39.0,0.0,,350.0,16.6,,1014.9,,
2020-10-25 16:00:00,13.9,-3.4,30.0,0.0,,350.0,33.5,,1016.0,,
2020-10-25 17:00:00,14.4,-4.9,26.0,0.0,,350.0,33.5,,1017.0,,
2020-10-25 18:00:00,15.0,-6.6,22.0,0.0,,340.0,38.9,,1017.3,,
2020-10-25 19:00:00,16.7,-11.0,14.0,0.0,,350.0,44.6,,1017.6,,
2020-10-25 20:00:00,17.8,-12.0,12.0,0.0,,340.0,38.9,,1017.3,,
2020-10-25 21:00:00,18.9,-13.4,10.0,0.0,,340.0,37.1,,1016.5,,
2020-10-25 22:00:00,18.9,-16.1,8.0,0.0,,350.0,37.1,,1016.1,,
2020-10-25 23:00:00,18.9,-17.7,7.0,0.0,,350.0,37.1,,1016.2,,
2020-10-26 00:00:00,18.9,-19.5,6.0,0.0,,350.0,29.5,,1016.8,,
2020-10-26 01:00:00,17.8,-18.6,7.0,0.0,,350.0,33.5,,1017.5,,
2020-10-26 02:00:00,16.7,-19.4,7.0,0.0,,350.0,40.7,,1018.4,,
2020-10-26 03:00:00,15.6,-18.6,8.0,0.0,,360.0,25.9,,1019.7,,
2020-10-26 04:00:00,15.0,-17.7,9.0,0.0,,360.0,31.7,,1020.6,,
2020-10-26 05:00:00,13.9,-16.1,11.0,0.0,,360.0,31.7,,1021.4,,
2020-10-26 06:00:00,13.3,-14.6,13.0,0.0,,350.0,22.3,,1022.5,,
2020-10-26 07:00:00,12.2,-14.6,14.0,0.0,,360.0,22.3,,1023.3,,
2020-10-26 08:00:00,12.2,-15.5,13.0,0.0,,350.0,24.1,,1023.9,,
2020-10-26 09:00:00,11.7,-15.9,13.0,0.0,,340.0,18.4,,1024.0,,
2020-10-26 10:00:00,11.1,-16.3,13.0,0.0,,350.0,22.3,,1024.2,,
2020-10-26 11:00:00,11.1,-16.3,13.0,0.0,,350.0,18.4,,1024.4,,
2020-10-26 12:00:00,11.1,-16.3,13.0,0.0,,340.0,20.5,,1024.3,,
