time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-10-23 16:00:00,9.4,4.0,69.0,0.0,,0.0,0.0,,1015.0,,
2020-10-23 17:00:00,12.8,3.2,52.0,0.0,,0.0,0.0,,1015.1,,
2020-10-23 18:00:00,16.7,4.1,43.0,0.0,,0.0,0.0,,1015.0,,
2020-10-23 19:00:00,19.4,3.1,34.0,0.0,,130.0,5.4,,1014.3,,
2020-10-23 20:00:00,22.8,2.8,27.0,0.0,,120.0,9.4,,1013.8,,
2020-10-23 21:00:00,25.6,3.5,24.0,0.0,,,5.4,,1012.9,,
2020-10-23 22:00:00,26.7,1.9,20.0,0.0,,,7.6,,1012.4,,
2020-10-23 23:00:00,26.1,3.3,23.0,0.0,,160.0,13.0,,1012.2,,
2020-10-24 00:00:00,25.0,6.7,31.0,0.0,,300.0,11.2,,1012.5,,
2020-10-24 01:00:00,21.7,8.2,42.0,0.0,,60.0,7.6,,1012.9,,
2020-10-24 02:00:00,19.4,7.8,47.0,0.0,,,5.4,,1013.6,,
2020-10-24 03:00:00,17.2,7.8,54.0,0.0,,0.0,0.0,,1014.2,,
2020-10-24 04:00:00,15.0,7.3,60.0,0.0,,0.0,0.0,,1014.5,,
2020-10-24 05:00:00,13.9,7.2,64.0,0.0,,0.0,0.0,,1014.8,,
2020-10-24 06:00:00,11.7,6.2,69.0,0.0,,0.0,0.0,,1015.1,,
2020-10-24 07:00:00,10.6,6.2,74.0,0.0,,0.0,0.0,,1015.4,,
2020-10-24 08:00:00,10.6,4.9,68.0,0.0,,0.0,0.0,,1015.6,,
2020-10-24 09:00:00,9.4,5.0,74.0,0.0,,0.0,0.0,,1015.2,,
2020-10-24 10:00:00,9.4,4.0,69.0,0.0,,0.0,0.0,,1015.0,,
2020-10-24 11:00:00,7.8,4.4,79.0,0.0,,0.0,0.0,,1015.0,,
2020-10-24 12:00:00,6.7,3.8,82.0,0.0,,0.0,0.0,,1015.0,,
2020-10-24 13:00:00,6.1,3.9,86.0,0.0,,0.0,0.0,,1015.2,,
2020-10-24 14:00:00,7.2,3.3,76.0,0.0,,0.0,0.0,,1016.2,,
2020-10-24 15:00:00,6.1,3.3,82.0,0.0,,0.0,0.0,,1016.0,,
2020-10-24 16:00:00,8.3,3.9,74.0,0.0,,0.0,0.0,,1016.4,,
2020-10-24 17:00:00,11.7,5.1,64.0,0.0,,0.0,0.0,,1016.3,,
2020-10-24 18:00:00,15.6,4.9,49.0,0.0,,0.0,0.0,,1015.5,,
2020-10-24 19:00:00,18.9,5.7,42.0,0.0,,90.0,5.4,,1014.7,,
2020-10-24 20:00:00,21.1,4.6,34.0,0.0,,70.0,7.6,,1013.7,,
2020-10-24 21:00:00,22.2,6.0,35.0,0.0,,150.0,13.0,,1012.5,,
2020-10-24 22:00:00,22.8,6.1,34.0,0.0,,150.0,14.8,,1011.6,,
2020-10-24 23:00:00,22.8,7.4,37.0,0.0,,150.0,16.6,,1011.3,,
2020-10-25 00:00:00,21.1,9.0,46.0,0.0,,160.0,13.0,,1011.1,,
2020-10-25 01:00:00,18.9,8.8,52.0,0.0,,170.0,13.0,,1011.3,,
2020-10-25 02:00:00,17.2,8.9,58.0,0.0,,190.0,13.0,,1011.4,,
2020-10-25 03:00:00,15.6,8.8,64.0,0.0,,170.0,5.4,,1011.9,,
2020-10-25 04:00:00,14.4,8.3,67.0,0.0,,150.0,7.6,,1011.7,,
2020-10-25 05:00:00,13.3,7.7,69.0,0.0,,0.0,0.0,,1012.4,,
