time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 01:00:00,28.9,3.0,19.0,0.0,,40.0,7.6,,1014.9,,2.0
2019-10-07 02:00:00,21.1,3.8,32.0,0.0,,341.0,0.0,,1015.0,,2.0
2019-10-07 03:00:00,17.8,4.4,41.0,0.0,,230.0,5.4,,1015.3,,2.0
2019-10-07 04:00:00,17.2,6.1,48.0,0.0,,351.0,0.0,,1015.5,,2.0
2019-10-07 05:00:00,17.2,4.5,43.0,0.0,,230.0,7.6,,1015.8,,1.0
2019-10-07 06:00:00,18.9,3.9,37.0,0.0,,220.0,7.6,,1015.7,,1.0
2019-10-07 07:00:00,15.6,4.0,46.0,0.0,,111.0,0.0,,1015.6,,2.0
2019-10-07 08:00:00,13.9,5.0,55.0,0.0,,50.0,0.0,,1015.4,,2.0
2019-10-07 09:00:00,11.1,4.3,63.0,0.0,,25.0,0.0,,1015.7,,2.0
2019-10-07 10:00:00,11.1,5.0,66.0,0.0,,36.0,0.0,,1015.7,,2.0
2019-10-07 11:00:00,12.8,4.5,57.0,0.0,,45.0,0.0,,1015.2,,2.0
2019-10-07 12:00:00,11.1,6.0,71.0,0.0,,85.0,0.0,,1015.3,,2.0
2019-10-07 13:00:00,9.4,5.0,74.0,0.0,,69.0,0.0,,1015.4,,2.0
2019-10-07 14:00:00,9.4,5.0,74.0,0.0,,112.0,0.0,,1015.8,,1.0
2019-10-07 15:00:00,11.7,5.6,66.0,0.0,,114.0,0.0,,1016.1,,1.0
2019-10-07 16:00:00,18.3,6.2,45.0,0.0,,118.0,0.0,,1016.6,,1.0
2019-10-07 17:00:00,18.3,5.5,43.0,0.0,,122.0,0.0,,1016.6,,1.0
2019-10-07 18:00:00,25.0,4.2,26.0,0.0,,40.0,9.4,,1016.3,,1.0
2019-10-07 19:00:00,27.8,4.1,22.0,0.0,,20.0,14.8,,1015.8,,1.0
2019-10-07 20:00:00,30.0,3.9,19.0,0.0,,40.0,9.4,,1015.1,,1.0
2019-10-07 21:00:00,31.1,3.2,17.0,0.0,,254.0,9.4,,1013.9,,1.0
2019-10-07 22:00:00,31.1,4.8,19.0,0.0,,259.0,5.4,,1013.1,,2.0
2019-10-07 23:00:00,31.7,3.7,17.0,0.0,,262.0,0.0,,1012.8,,2.0
2019-10-08 00:00:00,31.7,4.5,18.0,0.0,,266.0,0.0,,1012.2,,2.0
2019-10-08 01:00:00,29.4,4.8,21.0,0.0,,130.0,7.6,,1011.7,,2.0
2019-10-08 02:00:00,22.8,6.1,34.0,0.0,,95.0,0.0,,1011.8,,1.0
2019-10-08 03:00:00,22.8,5.7,33.0,0.0,,96.0,0.0,,1011.8,,1.0
2019-10-08 04:00:00,19.4,6.2,42.0,0.0,,240.0,5.4,,1012.0,,1.0
2019-10-08 05:00:00,16.7,5.6,48.0,0.0,,106.0,0.0,,1011.9,,1.0
2019-10-08 06:00:00,14.4,5.5,55.0,0.0,,260.0,5.4,,1012.0,,1.0
2019-10-08 07:00:00,13.9,6.0,59.0,0.0,,92.0,0.0,,1011.9,,1.0
2019-10-08 08:00:00,12.2,5.6,64.0,0.0,,72.0,0.0,,1011.7,,1.0
