time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-11-18 08:00:00,8.9,7.2,89.0,0.0,,124.0,0.0,,1017.2,,1.0
2019-11-18 09:00:00,7.8,6.1,89.0,,,124.0,0.0,,1017.4,,1.0
2019-11-18 10:00:00,8.3,6.8,90.0,,,260.0,5.4,,1017.0,,1.0
2019-11-18 11:00:00,7.2,6.1,93.0,,,101.0,0.0,,1016.8,,1.0
2019-11-18 12:00:00,6.1,5.7,97.0,,,21.0,0.0,,1016.4,,1.0
2019-11-18 13:00:00,5.6,5.0,96.0,,,4.0,0.0,,1016.1,,5.0
2019-11-18 14:00:00,5.6,5.6,100.0,,,317.0,0.0,,1016.1,,1.0
2019-11-18 15:00:00,5.6,5.0,96.0,,,326.0,0.0,,1016.5,,5.0
2019-11-18 16:00:00,9.4,8.3,93.0,,,304.0,0.0,,1016.4,,1.0
2019-11-18 17:00:00,14.4,8.3,67.0,,,281.0,0.0,,1016.5,,1.0
2019-11-18 18:00:00,18.9,8.2,50.0,,,20.0,5.4,,1016.1,,1.0
2019-11-18 19:00:00,20.0,9.3,50.0,,,295.0,7.6,,1015.4,,1.0
2019-11-18 20:00:00,21.7,9.9,47.0,,,30.0,7.6,,1014.6,,1.0
2019-11-18 21:00:00,23.3,10.0,43.0,,,69.0,5.5,,1013.5,,2.0
2019-11-18 22:00:00,24.4,8.8,37.0,,,111.0,5.5,,1012.5,,2.0
2019-11-18 23:00:00,23.9,8.7,38.0,,,115.0,5.4,,1011.5,,2.0
2019-11-19 00:00:00,23.9,8.7,38.0,,,126.0,0.0,,1011.1,,2.0
2019-11-19 01:00:00,21.1,9.3,47.0,,,160.0,5.4,,1010.6,,2.0
2019-11-19 02:00:00,15.0,8.9,67.0,,,200.0,5.4,,1010.9,,2.0
2019-11-19 03:00:00,15.0,8.9,67.0,,,230.0,7.6,,1010.5,,2.0
2019-11-19 04:00:00,12.8,8.3,74.0,,,240.0,5.4,,1010.2,,2.0
2019-11-19 05:00:00,11.1,7.8,80.0,,,128.0,0.0,,1010.1,,2.0
