time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-09 07:00:00,9.4,5.0,74.0,0.0,,0.0,0.0,,1019.5,,2.0
2021-10-09 08:00:00,10.0,5.0,71.0,0.0,,0.0,0.0,,1020.3,,2.0
2021-10-09 09:00:00,10.6,4.9,68.0,0.0,,0.0,0.0,,1020.5,,2.0
2021-10-09 10:00:00,12.8,5.0,59.0,0.0,,0.0,0.0,,1020.7,,2.0
2021-10-09 11:00:00,10.6,4.9,68.0,0.0,,0.0,0.0,,1020.7,,3.0
2021-10-09 12:00:00,9.4,6.1,80.0,0.0,,10.0,5.4,,1021.1,,3.0
2021-10-09 13:00:00,8.3,5.6,83.0,0.0,,310.0,5.4,,1022.1,,2.0
2021-10-09 14:00:00,9.4,6.1,80.0,0.0,,350.0,11.2,,1022.7,,3.0
2021-10-09 15:00:00,10.0,7.2,83.0,0.0,,350.0,11.2,,1022.9,,3.0
2021-10-09 16:00:00,12.8,7.9,72.0,0.0,,350.0,18.4,,1023.4,,3.0
2021-10-09 17:00:00,15.6,8.3,62.0,0.0,,10.0,13.0,,1023.6,,2.0
2021-10-09 18:00:00,17.2,8.3,56.0,0.0,,360.0,16.6,,1023.6,,2.0
2021-10-09 19:00:00,18.9,7.3,47.0,0.0,,10.0,14.8,,1023.3,,2.0
2021-10-09 20:00:00,21.1,5.4,36.0,0.0,,340.0,18.4,,1022.7,,2.0
2021-10-09 21:00:00,22.8,4.3,30.0,0.0,,360.0,11.2,,1021.8,,2.0
2021-10-09 22:00:00,23.3,2.7,26.0,0.0,,20.0,14.8,,1020.8,,2.0
2021-10-09 23:00:00,25.0,3.0,24.0,0.0,,20.0,13.0,,1020.3,,2.0
2021-10-10 00:00:00,25.0,3.0,24.0,0.0,,330.0,11.2,,1019.8,,2.0
2021-10-10 01:00:00,24.4,1.9,23.0,0.0,,0.0,0.0,,1019.5,,2.0
2021-10-10 02:00:00,20.6,5.8,38.0,0.0,,180.0,9.4,,1019.5,,2.0
2021-10-10 03:00:00,18.9,6.7,45.0,0.0,,230.0,7.6,,1019.7,,1.0
2021-10-10 04:00:00,13.3,5.0,57.0,0.0,,0.0,0.0,,1019.9,,1.0
2021-10-10 05:00:00,12.2,4.4,59.0,0.0,,0.0,0.0,,1020.2,,1.0
2021-10-10 06:00:00,11.7,4.0,59.0,0.0,,0.0,0.0,,1020.2,,1.0
2021-10-10 07:00:00,11.1,4.3,63.0,0.0,,0.0,0.0,,1020.2,,1.0
2021-10-10 08:00:00,11.7,4.0,59.0,0.0,,0.0,0.0,,1020.0,,1.0
2021-10-10 09:00:00,9.4,4.4,71.0,0.0,,0.0,0.0,,1019.9,,1.0
2021-10-10 10:00:00,8.3,3.9,74.0,0.0,,0.0,0.0,,1019.8,,1.0
2021-10-10 11:00:00,8.3,3.9,74.0,0.0,,0.0,0.0,,1019.5,,1.0
2021-10-10 12:00:00,7.8,3.8,76.0,0.0,,30.0,5.4,,1019.7,,1.0
2021-10-10 13:00:00,8.3,4.3,76.0,0.0,,50.0,5.4,,1019.9,,1.0
2021-10-10 14:00:00,6.7,3.8,82.0,0.0,,0.0,0.0,,1019.8,,1.0
2021-10-10 15:00:00,9.4,5.0,74.0,0.0,,0.0,0.0,,1019.7,,1.0
2021-10-10 16:00:00,16.1,5.7,50.0,0.0,,0.0,0.0,,1020.2,,1.0
2021-10-10 17:00:00,18.3,6.2,45.0,0.0,,50.0,5.4,,1020.5,,1.0
2021-10-10 18:00:00,21.1,6.2,38.0,0.0,,60.0,9.4,,1020.3,,1.0
2021-10-10 19:00:00,23.3,5.2,31.0,0.0,,140.0,9.4,,1019.7,,1.0
2021-10-10 20:00:00,24.4,5.2,29.0,0.0,,140.0,5.4,,1019.0,,1.0
2021-10-10 21:00:00,25.6,5.2,27.0,0.0,,0.0,0.0,,1017.9,,1.0
2021-10-10 22:00:00,26.7,5.6,26.0,0.0,,170.0,7.6,,1016.6,,2.0
2021-10-10 23:00:00,26.7,6.7,28.0,0.0,,170.0,13.0,,1015.5,,2.0
2021-10-11 00:00:00,26.7,5.6,26.0,0.0,,180.0,14.8,,1014.8,,2.0
2021-10-11 01:00:00,25.0,5.2,28.0,0.0,,200.0,16.6,,1014.1,,2.0
2021-10-11 02:00:00,22.2,5.6,34.0,0.0,,220.0,16.6,,1013.9,,2.0
2021-10-11 03:00:00,20.6,5.8,38.0,0.0,,220.0,20.5,,1013.7,,1.0
2021-10-11 04:00:00,18.9,8.0,49.0,0.0,,200.0,14.8,,1012.8,,1.0
2021-10-11 05:00:00,18.3,8.8,54.0,0.0,,210.0,14.8,,1012.3,,1.0
2021-10-11 06:00:00,16.7,8.4,58.0,0.0,,230.0,7.6,,1012.2,,1.0
2021-10-11 07:00:00,16.1,5.7,50.0,0.0,,350.0,17.0,,1012.8,,1.0
2021-10-11 08:00:00,18.3,3.4,37.0,0.0,,350.0,16.6,,1013.3,,1.0
2021-10-11 09:00:00,16.1,2.8,41.0,0.0,,310.0,9.4,,1014.1,,1.0
2021-10-11 10:00:00,15.6,1.0,37.0,0.0,,320.0,22.3,,1014.5,,1.0
2021-10-11 11:00:00,14.4,0.6,39.0,0.0,,330.0,11.2,,1014.3,,2.0
2021-10-11 12:00:00,14.4,-0.1,37.0,0.0,,320.0,20.5,,1014.7,,1.0
2021-10-11 13:00:00,13.9,-1.7,34.0,0.0,,300.0,14.8,,1015.1,,1.0
2021-10-11 14:00:00,12.8,0.5,43.0,0.0,,290.0,16.6,,1015.3,,1.0
2021-10-11 15:00:00,13.9,-0.9,36.0,0.0,,340.0,24.1,,1015.5,,1.0
2021-10-11 16:00:00,16.1,-4.0,25.0,0.0,,340.0,33.5,,1015.4,,5.0
2021-10-11 17:00:00,16.7,-4.6,23.0,0.0,,360.0,53.6,,1015.6,,5.0
2021-10-11 18:00:00,17.8,-4.8,21.0,0.0,,360.0,48.2,,1015.4,,1.0
2021-10-11 19:00:00,18.3,-5.1,20.0,0.0,,360.0,46.4,,1015.2,,2.0
2021-10-11 20:00:00,20.0,-5.8,17.0,0.0,,360.0,38.9,,1014.6,,2.0
2021-10-11 21:00:00,20.0,-5.8,17.0,0.0,,360.0,40.7,,1014.3,,2.0
2021-10-11 22:00:00,20.6,-7.0,15.0,0.0,,350.0,46.4,,1013.7,,2.0
2021-10-11 23:00:00,20.6,-7.9,14.0,0.0,,360.0,33.5,,1013.5,,2.0
2021-10-12 00:00:00,20.0,-9.3,13.0,0.0,,350.0,35.3,,1013.4,,2.0
2021-10-12 01:00:00,18.9,-10.2,13.0,0.0,,350.0,40.7,,1013.8,,2.0
2021-10-12 02:00:00,17.8,-11.0,13.0,0.0,,340.0,24.1,,1014.0,,2.0
2021-10-12 03:00:00,17.2,-11.5,13.0,0.0,,340.0,24.1,,1014.4,,1.0
2021-10-12 04:00:00,16.7,-9.3,16.0,0.0,,340.0,24.1,,1015.0,,1.0
2021-10-12 05:00:00,16.1,-7.6,19.0,0.0,,350.0,33.5,,1015.7,,1.0
2021-10-12 06:00:00,15.0,-6.6,22.0,0.0,,350.0,33.5,,1015.7,,1.0
2021-10-12 07:00:00,14.4,-5.9,24.0,0.0,,350.0,31.7,,1016.0,,1.0
2021-10-12 08:00:00,14.4,-5.9,24.0,0.0,,350.0,33.5,,1016.2,,1.0
2021-10-12 09:00:00,13.9,-5.8,25.0,0.0,,350.0,35.3,,1016.7,,1.0
2021-10-12 10:00:00,13.9,-4.8,27.0,0.0,,360.0,27.7,,1017.1,,1.0
2021-10-12 11:00:00,13.3,-4.8,28.0,0.0,,360.0,31.7,,1017.1,,1.0
2021-10-12 12:00:00,13.3,-4.8,28.0,0.0,,360.0,24.1,,1017.5,,1.0
2021-10-12 13:00:00,12.8,-4.8,29.0,0.0,,360.0,38.9,,1017.5,,1.0
2021-10-12 14:00:00,12.8,-4.8,29.0,0.0,,350.0,35.3,,1017.8,,1.0
