time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-10-09 10:00:00,12.2,9.4,83.0,0.0,,190.0,7.6,,1021.0,,
2021-10-09 11:00:00,11.7,8.9,83.0,0.0,,0.0,0.0,,1020.7,,
2021-10-09 12:00:00,11.7,8.9,83.0,0.0,,0.0,0.0,,1020.9,,
2021-10-09 13:00:00,12.2,8.3,77.0,0.0,,40.0,7.6,,1021.4,,
2021-10-09 14:00:00,11.7,8.4,80.0,0.0,,0.0,0.0,,1021.5,,
2021-10-09 15:00:00,10.6,7.3,80.0,0.0,,0.0,0.0,,1022.1,,
2021-10-09 16:00:00,13.3,7.7,69.0,0.0,,0.0,0.0,,1022.2,,
2021-10-09 17:00:00,15.6,8.8,64.0,0.0,,0.0,0.0,,1022.4,,
2021-10-09 18:00:00,16.7,8.9,60.0,0.0,,0.0,0.0,,1022.3,,
2021-10-09 19:00:00,18.9,8.2,50.0,0.0,,0.0,0.0,,1021.8,,
2021-10-09 20:00:00,20.6,3.3,32.0,0.0,,50.0,22.3,,1021.5,,
2021-10-09 21:00:00,20.6,3.8,33.0,0.0,,40.0,14.8,,1020.9,,
2021-10-09 22:00:00,21.7,4.3,32.0,0.0,,80.0,14.8,,1020.2,,
2021-10-09 23:00:00,21.7,3.8,31.0,0.0,,0.0,0.0,,1019.9,,
2021-10-10 00:00:00,22.2,1.8,26.0,0.0,,0.0,0.0,,1019.5,,
2021-10-10 01:00:00,22.2,1.8,26.0,0.0,,0.0,0.0,,1019.3,,
2021-10-10 02:00:00,20.0,2.8,32.0,0.0,,290.0,5.4,,1019.3,,
2021-10-10 03:00:00,16.1,5.7,50.0,0.0,,290.0,7.6,,1019.8,,
2021-10-10 04:00:00,15.6,8.3,62.0,0.0,,250.0,5.4,,1020.4,,
2021-10-10 05:00:00,14.4,8.3,67.0,0.0,,0.0,0.0,,1020.7,,
2021-10-10 06:00:00,14.4,8.3,67.0,0.0,,0.0,0.0,,1020.8,,
2021-10-10 07:00:00,12.8,7.3,69.0,0.0,,90.0,5.4,,1020.8,,
2021-10-10 08:00:00,11.7,5.6,66.0,0.0,,0.0,0.0,,1020.7,,
2021-10-10 09:00:00,10.6,4.9,68.0,0.0,,0.0,0.0,,1020.5,,
2021-10-10 10:00:00,10.6,4.9,68.0,0.0,,0.0,0.0,,1020.4,,
2021-10-10 11:00:00,9.4,4.4,71.0,0.0,,0.0,0.0,,1019.8,,
2021-10-10 12:00:00,8.9,3.9,71.0,0.0,,90.0,5.4,,1019.8,,
2021-10-10 13:00:00,8.3,3.9,74.0,0.0,,70.0,5.4,,1019.7,,
2021-10-10 14:00:00,8.9,3.9,71.0,0.0,,60.0,5.4,,1019.7,,
2021-10-10 15:00:00,9.4,4.4,71.0,0.0,,90.0,5.4,,1019.8,,
2021-10-10 16:00:00,12.2,4.9,61.0,0.0,,0.0,0.0,,1019.9,,
2021-10-10 17:00:00,15.6,6.1,53.0,0.0,,190.0,5.4,,1020.1,,
2021-10-10 18:00:00,18.9,6.0,43.0,0.0,,250.0,5.4,,1019.7,,
2021-10-10 19:00:00,21.7,6.0,36.0,0.0,,0.0,0.0,,1019.3,,
2021-10-10 20:00:00,23.9,5.7,31.0,0.0,,250.0,5.4,,1018.4,,5.0
2021-10-10 21:00:00,25.6,5.2,27.0,0.0,,250.0,9.4,,1017.1,,
2021-10-10 22:00:00,25.6,5.2,27.0,0.0,,0.0,0.0,,1016.3,,
2021-10-10 23:00:00,26.7,5.0,25.0,0.0,,240.0,9.4,,1015.5,,
2021-10-11 00:00:00,26.7,6.7,28.0,0.0,,290.0,11.2,,1014.6,,
2021-10-11 01:00:00,23.9,7.1,34.0,0.0,,270.0,14.8,,1014.5,,
2021-10-11 02:00:00,19.4,7.8,47.0,0.0,,280.0,20.5,,1014.9,,
