time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-07 17:00:00,18.9,8.2,50.0,0.0,,,0.0,,1015.9,,
2019-10-07 18:00:00,23.9,6.6,33.0,0.0,,,0.0,,1015.6,,
2019-10-07 19:00:00,25.0,6.7,31.0,0.0,,300.0,7.6,,1015.3,,
2019-10-07 20:00:00,25.0,6.7,31.0,0.0,,300.0,9.4,,1014.5,,
2019-10-07 21:00:00,28.3,7.0,26.0,0.0,,,5.4,,1013.3,,
2019-10-07 22:00:00,30.0,7.2,24.0,0.0,,320.0,9.4,,1012.4,,
2019-10-07 23:00:00,30.6,5.8,21.0,0.0,,320.0,9.4,,1012.0,,
2019-10-08 00:00:00,31.1,5.5,20.0,0.0,,340.0,14.8,,1011.4,,
2019-10-08 01:00:00,29.4,6.1,23.0,0.0,,300.0,14.8,,1010.9,,
2019-10-08 02:00:00,25.0,8.5,35.0,0.0,,,0.0,,1011.0,,
2019-10-08 03:00:00,21.7,9.2,45.0,0.0,,290.0,5.4,,1011.3,,
2019-10-08 04:00:00,20.6,10.7,53.0,0.0,,,0.0,,1011.4,,
2019-10-08 05:00:00,18.9,10.7,59.0,0.0,,270.0,5.4,,1011.6,,
2019-10-08 06:00:00,15.6,9.9,69.0,0.0,,,0.0,,1011.7,,
2019-10-08 07:00:00,14.4,10.0,75.0,0.0,,,0.0,,1011.7,,
2019-10-08 08:00:00,13.9,9.9,77.0,0.0,,,0.0,,1011.6,,
2019-10-08 09:00:00,14.4,9.4,72.0,0.0,,,0.0,,1011.4,,
2019-10-08 10:00:00,13.9,8.9,72.0,0.0,,,0.0,,1011.1,,
2019-10-08 11:00:00,12.8,9.4,80.0,0.0,,,0.0,,1010.9,,
2019-10-08 12:00:00,11.7,8.4,80.0,0.0,,,0.0,,1010.8,,
2019-10-08 13:00:00,12.2,8.9,80.0,0.0,,,0.0,,1010.8,,
2019-10-08 14:00:00,11.7,8.4,80.0,0.0,,,0.0,,1011.2,,
2019-10-08 15:00:00,12.2,8.9,80.0,0.0,,,0.0,,1011.4,,
2019-10-08 16:00:00,17.2,7.3,52.0,0.0,,130.0,5.4,,1011.8,,
2019-10-08 17:00:00,21.1,6.6,39.0,0.0,,110.0,5.4,,1012.0,,
2019-10-08 18:00:00,24.4,6.2,31.0,0.0,,120.0,5.4,,1011.7,,
2019-10-08 19:00:00,26.7,5.0,25.0,0.0,,10.0,7.6,,1011.4,,
2019-10-08 20:00:00,28.3,3.9,21.0,0.0,,340.0,7.6,,1010.4,,
2019-10-08 21:00:00,29.4,2.6,18.0,0.0,,,0.0,,1009.8,,
2019-10-08 22:00:00,31.1,3.2,17.0,0.0,,320.0,7.6,,1009.3,,
2019-10-08 23:00:00,31.7,2.8,16.0,0.0,,360.0,9.4,,1008.8,,
2019-10-09 00:00:00,31.7,1.9,15.0,0.0,,10.0,7.6,,1008.5,,
2019-10-09 01:00:00,28.9,3.7,20.0,0.0,,320.0,7.6,,1008.2,,
2019-10-09 02:00:00,27.8,5.4,24.0,0.0,,10.0,5.4,,1008.1,,
2019-10-09 03:00:00,20.6,8.9,47.0,0.0,,,0.0,,1008.3,,
2019-10-09 04:00:00,18.9,9.4,54.0,0.0,,,0.0,,1008.2,,
2019-10-09 05:00:00,18.9,9.4,54.0,0.0,,,0.0,,1008.5,,
2019-10-09 06:00:00,16.7,9.4,62.0,0.0,,,0.0,,1008.6,,
2019-10-09 07:00:00,17.2,8.3,56.0,0.0,,340.0,5.4,,1008.9,,
2019-10-09 08:00:00,13.9,8.9,72.0,0.0,,120.0,9.4,,1008.7,,
2019-10-09 09:00:00,12.8,8.3,74.0,0.0,,110.0,9.4,,1008.5,,
