time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 18:00:00,22.8,10.6,46.0,,,,5.4,,1019.0,,
2019-10-24 19:00:00,26.1,11.1,39.0,,,,0.0,,1019.2,,
2019-10-24 20:00:00,26.7,11.6,39.0,,,240.0,9.4,,1018.3,,
2019-10-24 21:00:00,28.3,10.9,34.0,,,270.0,11.2,,1017.7,,
2019-10-24 22:00:00,30.0,9.5,28.0,,,300.0,11.2,,1017.4,,
2019-10-24 23:00:00,30.0,9.5,28.0,,,330.0,13.0,,1017.2,,
2019-10-25 00:00:00,29.4,10.0,30.0,,,310.0,11.2,,1017.0,,
2019-10-25 01:00:00,27.2,11.2,37.0,,,310.0,7.6,,1017.0,,
2019-10-25 02:00:00,23.3,11.7,48.0,,,,0.0,,1017.6,,
2019-10-25 03:00:00,22.2,11.0,49.0,,,20.0,11.2,,1018.2,,
2019-10-25 04:00:00,18.9,11.2,61.0,,,90.0,9.4,,1018.4,,
2019-10-25 05:00:00,18.3,10.6,61.0,,,,0.0,,1018.9,,
2019-10-25 06:00:00,16.7,8.9,60.0,,,120.0,11.2,,1019.3,,
2019-10-25 07:00:00,15.0,8.2,64.0,,,110.0,11.2,,1019.8,,
2019-10-25 08:00:00,13.3,7.7,69.0,,,,,,1020.0,,
2019-10-25 09:00:00,13.3,8.4,72.0,,,,,,1020.2,,
2019-10-25 10:00:00,13.3,7.7,69.0,,,,,,1019.8,,
2019-10-25 11:00:00,11.1,6.6,74.0,,,,,,1019.1,,
2019-10-25 12:00:00,11.1,6.6,74.0,,,,,,1019.2,,
2019-10-25 13:00:00,11.1,6.6,74.0,,,120.0,5.4,,1019.3,,
2019-10-25 14:00:00,9.4,5.6,77.0,,,220.0,9.4,,1019.8,,
2019-10-25 15:00:00,10.6,5.6,71.0,,,150.0,7.6,,1020.3,,
2019-10-25 16:00:00,17.2,6.1,48.0,,,,0.0,,1020.6,,
2019-10-25 17:00:00,22.2,5.2,33.0,,,190.0,5.4,,1020.4,,
2019-10-25 18:00:00,25.0,6.2,30.0,,,,0.0,,1020.2,,
2019-10-25 19:00:00,27.2,9.5,33.0,,,290.0,9.4,,1019.8,,
2019-10-25 20:00:00,,,,,,,,,,,
2019-10-25 21:00:00,30.0,6.6,23.0,,,320.0,14.8,,1017.8,,
2019-10-25 22:00:00,,,,,,,,,,,
2019-10-25 23:00:00,30.6,5.1,20.0,,,320.0,16.6,,1016.5,,
2019-10-26 00:00:00,30.0,5.3,21.0,,,310.0,11.2,,1016.1,,
2019-10-26 01:00:00,26.7,7.2,29.0,,,320.0,9.4,,1015.9,,
2019-10-26 02:00:00,22.8,8.1,39.0,,,,0.0,,1016.0,,
2019-10-26 03:00:00,19.4,9.3,52.0,,,120.0,7.6,,1016.0,,
2019-10-26 04:00:00,17.2,8.3,56.0,,,120.0,9.4,,1016.1,,
2019-10-26 05:00:00,16.1,6.8,54.0,,,110.0,5.4,,1015.9,,
2019-10-26 06:00:00,15.6,7.1,57.0,,,130.0,7.6,,1015.7,,
2019-10-26 07:00:00,15.0,5.5,53.0,,,250.0,7.6,,1015.7,,
2019-10-26 08:00:00,13.3,6.6,64.0,,,,0.0,,1015.6,,
2019-10-26 09:00:00,12.8,6.6,66.0,,,100.0,7.6,,1015.1,,
2019-10-26 10:00:00,13.9,5.0,55.0,,,100.0,11.2,,1014.4,,
2019-10-26 11:00:00,13.3,5.0,57.0,,,,,,1013.7,,
