time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-08-15 19:00:00,36.7,13.5,25.0,0.0,,0.0,0.0,,1011.1,,5.0
2021-08-15 20:00:00,39.4,13.0,21.0,0.0,,0.0,0.0,,1010.0,,5.0
2021-08-15 21:00:00,42.8,11.7,16.0,0.0,,0.0,0.0,,1008.9,,5.0
2021-08-15 22:00:00,45.6,9.5,12.0,0.0,,300.0,5.4,,1007.8,,5.0
2021-08-15 23:00:00,46.1,4.0,8.0,0.0,,300.0,13.0,,1007.1,,5.0
2021-08-16 00:00:00,45.0,3.2,8.0,0.0,,310.0,16.6,,1006.7,,5.0
2021-08-16 01:00:00,43.3,5.1,10.0,0.0,,310.0,16.6,,1006.3,,5.0
2021-08-16 02:00:00,41.7,6.5,12.0,0.0,,300.0,9.4,,1006.1,,5.0
2021-08-16 03:00:00,36.7,18.3,34.0,0.0,,160.0,16.6,,1006.4,,5.0
2021-08-16 04:00:00,33.9,21.0,47.0,0.0,,170.0,13.0,,1007.0,,5.0
2021-08-16 05:00:00,32.2,20.1,49.0,0.0,,170.0,14.8,,1007.3,,5.0
2021-08-16 06:00:00,31.1,17.8,45.0,0.0,,170.0,16.6,,1007.7,,5.0
2021-08-16 07:00:00,30.0,17.1,46.0,0.0,,140.0,5.4,,1008.1,,5.0
2021-08-16 08:00:00,29.4,17.2,48.0,0.0,,0.0,0.0,,1008.2,,5.0
2021-08-16 09:00:00,27.2,17.1,54.0,0.0,,0.0,0.0,,1008.1,,5.0
2021-08-16 10:00:00,27.2,17.1,54.0,0.0,,0.0,0.0,,1007.7,,5.0
2021-08-16 11:00:00,25.6,17.3,60.0,0.0,,0.0,0.0,,1007.5,,5.0
2021-08-16 12:00:00,25.0,17.2,62.0,0.0,,0.0,0.0,,1007.6,,5.0
2021-08-16 13:00:00,24.4,17.9,67.0,0.0,,0.0,0.0,,1007.5,,5.0
2021-08-16 14:00:00,23.9,17.2,66.0,0.0,,0.0,0.0,,1007.7,,5.0
2021-08-16 15:00:00,24.4,17.9,67.0,0.0,,300.0,5.4,,1007.9,,5.0
2021-08-16 16:00:00,27.2,16.2,51.0,0.0,,0.0,0.0,,1007.5,,5.0
2021-08-16 17:00:00,30.0,15.7,42.0,0.0,,0.0,0.0,,1007.1,,5.0
2021-08-16 18:00:00,30.6,17.3,45.0,0.0,,0.0,0.0,,1006.9,,5.0
2021-08-16 19:00:00,33.3,16.6,37.0,0.0,,0.0,0.0,,1005.9,,5.0
2021-08-16 20:00:00,35.0,16.3,33.0,0.0,,190.0,7.6,,1005.2,,5.0
2021-08-16 21:00:00,36.1,14.2,27.0,0.0,,0.0,0.0,,1004.3,,5.0
2021-08-16 22:00:00,37.2,13.3,24.0,0.0,,230.0,7.6,,1003.4,,5.0
2021-08-16 23:00:00,37.2,12.6,23.0,0.0,,170.0,9.4,,1002.6,,5.0
2021-08-17 00:00:00,37.8,13.8,24.0,0.0,,320.0,7.6,,1002.2,,5.0
2021-08-17 01:00:00,37.8,13.1,23.0,0.0,,270.0,5.4,,1001.9,,5.0
2021-08-17 02:00:00,36.1,14.2,27.0,0.0,,340.0,7.6,,1001.7,,5.0
2021-08-17 03:00:00,35.6,9.2,20.0,0.0,,50.0,5.4,,1002.1,,5.0
2021-08-17 04:00:00,33.3,8.0,21.0,0.0,,0.0,0.0,,1002.6,,5.0
2021-08-17 05:00:00,31.1,13.8,35.0,0.0,,250.0,7.6,,1002.9,,5.0
2021-08-17 06:00:00,31.7,8.0,23.0,0.0,,30.0,7.6,,1003.0,,5.0
2021-08-17 07:00:00,29.4,12.3,35.0,0.0,,330.0,7.6,,1003.1,,5.0
2021-08-17 08:00:00,29.4,12.8,36.0,0.0,,10.0,11.2,,1003.5,,5.0
2021-08-17 09:00:00,27.2,12.8,41.0,0.0,,10.0,7.6,,1003.7,,5.0
2021-08-17 10:00:00,25.0,12.9,47.0,0.0,,0.0,0.0,,1004.1,,5.0
2021-08-17 11:00:00,23.3,13.2,53.0,0.0,,170.0,5.4,,1004.4,,5.0
2021-08-17 12:00:00,23.9,11.6,46.0,0.0,,0.0,0.0,,1004.6,,5.0
2021-08-17 13:00:00,25.6,10.6,39.0,0.0,,240.0,5.4,,1005.0,,5.0
2021-08-17 14:00:00,22.2,11.0,49.0,0.0,,170.0,9.4,,1005.9,,5.0
2021-08-17 15:00:00,23.3,11.7,48.0,0.0,,190.0,5.4,,1006.3,,
2021-08-17 16:00:00,23.9,11.6,46.0,0.0,,0.0,0.0,,1006.7,,
2021-08-17 17:00:00,25.0,11.2,42.0,0.0,,140.0,5.4,,1006.9,,
