time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-24 21:00:00,37.2,-15.1,3.0,0.0,,90.0,27.7,,1013.0,,
2019-10-24 22:00:00,36.7,-15.4,3.0,0.0,,100.0,24.1,,1012.9,,
2019-10-24 23:00:00,36.1,-12.3,4.0,0.0,,110.0,18.4,,1012.7,,
2019-10-25 00:00:00,35.0,-16.6,3.0,0.0,,80.0,20.5,,1012.8,,
2019-10-25 01:00:00,33.3,-14.2,4.0,0.0,,110.0,14.8,,1012.9,,
2019-10-25 02:00:00,30.6,-13.4,5.0,0.0,,80.0,18.4,,1013.3,,
2019-10-25 03:00:00,29.4,-14.2,5.0,0.0,,90.0,14.8,,1014.2,,
2019-10-25 04:00:00,27.8,-15.3,5.0,0.0,,80.0,14.8,,1014.5,,
2019-10-25 05:00:00,26.7,-16.1,5.0,0.0,,90.0,13.0,,1015.1,,
2019-10-25 06:00:00,26.7,-16.1,5.0,,,90.0,14.8,,1015.2,,
2019-10-25 07:00:00,27.2,-15.8,5.0,,,70.0,11.2,,1015.2,,
2019-10-25 08:00:00,26.1,-12.4,7.0,,,140.0,0.0,,1015.1,,
2019-10-25 09:00:00,23.3,-8.8,11.0,0.0,,140.0,0.0,,1015.0,,
2019-10-25 10:00:00,20.6,-3.8,19.0,0.0,,130.0,0.0,,1014.6,,
2019-10-25 11:00:00,20.0,-2.4,22.0,0.0,,340.0,9.4,,1014.3,,
2019-10-25 12:00:00,20.0,-4.3,19.0,0.0,,100.0,5.4,,1014.3,,
2019-10-25 13:00:00,18.9,-3.9,21.0,0.0,,80.0,0.0,,1014.8,,
2019-10-25 14:00:00,18.9,-3.3,22.0,0.0,,10.0,5.4,,1015.0,,
2019-10-25 15:00:00,20.0,-3.0,21.0,0.0,,110.0,0.0,,1015.6,,
2019-10-25 16:00:00,23.9,-0.4,20.0,0.0,,290.0,5.4,,1016.3,,
2019-10-25 17:00:00,30.6,-5.9,9.0,0.0,,110.0,0.0,,1016.1,,
2019-10-25 18:00:00,33.9,-8.7,6.0,0.0,,80.0,22.3,,1015.8,,
2019-10-25 19:00:00,35.0,-7.9,6.0,0.0,,80.0,18.4,,1015.1,,
2019-10-25 20:00:00,36.1,-7.1,6.0,0.0,,110.0,7.6,,1014.1,,
2019-10-25 21:00:00,35.6,-7.5,6.0,0.0,,280.0,11.2,,1013.1,,
2019-10-25 22:00:00,35.6,-7.5,6.0,0.0,,70.0,7.6,,1012.5,,
2019-10-25 23:00:00,35.6,-7.5,6.0,0.0,,280.0,9.4,,1012.1,,
2019-10-26 00:00:00,33.9,-6.7,7.0,0.0,,260.0,16.6,,1011.8,,
2019-10-26 01:00:00,31.1,-7.0,8.0,0.0,,280.0,18.4,,1011.9,,
2019-10-26 02:00:00,27.8,-4.2,12.0,,,260.0,0.0,,1012.6,,
2019-10-26 03:00:00,25.0,-1.0,18.0,,,240.0,0.0,,1012.9,,
2019-10-26 04:00:00,23.9,-1.1,19.0,0.0,,90.0,9.4,,1012.8,,
2019-10-26 05:00:00,23.9,-1.9,18.0,0.0,,60.0,5.4,,1012.7,,
2019-10-26 06:00:00,20.0,1.9,30.0,0.0,,,0.0,,1012.6,,
2019-10-26 07:00:00,18.9,2.7,34.0,0.0,,30.0,0.0,,1012.3,,
2019-10-26 08:00:00,19.4,-1.7,24.0,,,90.0,9.4,,1011.8,,
2019-10-26 09:00:00,18.9,-1.0,26.0,0.0,,200.0,0.0,,1011.5,,
2019-10-26 10:00:00,17.8,-0.5,29.0,0.0,,20.0,0.0,,1011.1,,
2019-10-26 11:00:00,16.1,3.2,42.0,0.0,,,0.0,,1010.4,,
2019-10-26 12:00:00,17.2,-0.1,31.0,0.0,,,0.0,,1010.2,,
2019-10-26 13:00:00,17.2,-0.5,30.0,0.0,,90.0,9.4,,1010.0,,
2019-10-26 14:00:00,15.0,0.4,37.0,0.0,,,0.0,,1009.9,,
2019-10-26 15:00:00,16.7,2.7,39.0,0.0,,,0.0,,1010.2,,
2019-10-26 16:00:00,21.7,1.9,27.0,0.0,,,0.0,,1010.4,,
2019-10-26 17:00:00,26.1,-0.9,17.0,0.0,,,7.6,,1010.2,,
2019-10-26 18:00:00,28.3,-3.8,12.0,0.0,,190.0,5.4,,1009.7,,
2019-10-26 19:00:00,30.6,-4.5,10.0,0.0,,320.0,0.0,,1009.2,,
2019-10-26 20:00:00,31.7,-2.4,11.0,0.0,,190.0,11.2,,1008.3,,
2019-10-26 21:00:00,31.1,-1.7,12.0,0.0,,190.0,11.2,,1007.5,,
2019-10-26 22:00:00,31.1,-2.8,11.0,0.0,,230.0,16.6,,1006.9,,
2019-10-26 23:00:00,28.9,1.4,17.0,0.0,,270.0,11.2,,1006.6,,
2019-10-27 00:00:00,27.8,3.5,21.0,0.0,,200.0,11.2,,1006.4,,
2019-10-27 01:00:00,25.6,4.1,25.0,0.0,,190.0,7.6,,1006.3,,
2019-10-27 02:00:00,23.3,7.8,37.0,0.0,,180.0,7.6,,1006.9,,
2019-10-27 03:00:00,21.7,11.7,53.0,0.0,,180.0,5.4,,1007.2,,
2019-10-27 04:00:00,20.6,13.3,63.0,0.0,,270.0,0.0,,1007.3,,
