time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-10-25 14:00:00,14.4,7.9,65.0,0.0,,290.0,0.0,,1018.8,,5.0
2019-10-25 15:00:00,15.6,7.9,60.0,0.0,,290.0,5.4,,1019.1,,5.0
2019-10-25 16:00:00,18.3,6.8,47.0,0.0,,300.0,5.4,,1020.0,,5.0
2019-10-25 17:00:00,21.7,6.8,38.0,0.0,,290.0,5.4,,1020.4,,5.0
2019-10-25 18:00:00,23.9,7.1,34.0,0.0,,280.0,5.4,,1020.0,,5.0
2019-10-25 19:00:00,26.1,7.7,31.0,0.0,,290.0,5.4,,1019.4,,5.0
2019-10-25 20:00:00,27.8,7.1,27.0,0.0,,260.0,7.6,,1018.4,,5.0
2019-10-25 21:00:00,29.4,5.5,22.0,0.0,,290.0,5.4,,1017.4,,1.0
2019-10-25 22:00:00,30.0,5.3,21.0,0.0,,300.0,7.6,,1016.6,,5.0
2019-10-25 23:00:00,30.6,4.4,19.0,0.0,,310.0,11.2,,1016.2,,5.0
2019-10-26 00:00:00,30.0,3.9,19.0,0.0,,310.0,13.0,,1015.7,,1.0
2019-10-26 01:00:00,28.9,4.4,21.0,0.0,,320.0,9.4,,1015.3,,1.0
2019-10-26 02:00:00,27.1,3.6,22.0,,,324.0,5.5,,1015.8,,1.0
2019-10-26 03:00:00,24.4,5.2,29.0,,,339.0,0.0,,1015.3,,1.0
2019-10-26 04:00:00,21.7,6.8,38.0,0.0,,10.0,0.0,,1015.4,,1.0
2019-10-26 05:00:00,20.6,7.2,42.0,0.0,,4.0,0.0,,1015.3,,1.0
2019-10-26 06:00:00,18.9,7.3,47.0,0.0,,98.0,0.0,,1015.2,,1.0
2019-10-26 07:00:00,17.8,6.6,48.0,0.0,,100.0,0.0,,1015.0,,1.0
2019-10-26 08:00:00,16.7,7.1,53.0,0.0,,100.0,0.0,,1014.7,,1.0
2019-10-26 09:00:00,16.1,6.8,54.0,0.0,,70.0,0.0,,1014.4,,1.0
